i,data.theta_m1,data.theta_l1,data.delta_theta_r1,data.Trr_ad,data.theta_m2,data.theta_l2,data.delta_theta_r2,data.Trr_cf
324,24.8526554107666,11.55596923828125,13.296686172485352,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
325,24.84000015258789,11.55596923828125,13.28403091430664,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
326,24.8231258392334,11.55596923828125,13.267156600952148,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
327,24.83578109741211,11.59197998046875,13.24380111694336,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
328,24.834375381469727,11.59197998046875,13.242395401000977,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
329,24.807655334472656,11.59197998046875,13.215675354003906,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
330,24.793594360351562,11.59197998046875,13.201614379882812,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
331,24.779531478881836,11.59197998046875,13.187551498413086,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
332,24.771093368530273,11.59197998046875,13.179113388061523,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
333,24.771093368530273,11.59197998046875,13.179113388061523,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
334,24.786561965942383,11.59197998046875,13.194581985473633,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
335,24.795000076293945,11.59197998046875,13.203020095825195,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
336,24.795000076293945,11.59197998046875,13.203020095825195,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
337,24.803438186645508,11.59197998046875,13.211458206176758,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
338,24.854063034057617,11.59197998046875,13.262083053588867,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
339,24.892030715942383,11.59197998046875,13.300050735473633,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
340,24.92156219482422,11.59197998046875,13.329582214355469,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
